Title,Company,Location,Apply
b'Planvisualist',"b""Gemeente 's-Hertogenbosch""","b'\xe2\x80\x99s-Hertogenbosch, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/planvisualist-at-gemeente-s-hertogenbosch-3456319590?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=9DO%2FnRCcHqjtEZpGwdxdcQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Vormgever/DTP-er, Uden'",b'Wiltec - Spuiterij & oppervlaktetechniek',"b'Uden, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/vormgever-dtp-er-uden-at-wiltec-spuiterij-oppervlaktetechniek-3485037576?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=hU%2BBqrnriKYMW35hpRLvUA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Stage Graphic Design/Content Creator',b'Musthave District',"b'\xe2\x80\x99s-Hertogenbosch, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/stage-graphic-design-content-creator-at-musthave-district-3487306444?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=hMaVopBEyTqbAPx9aVHdMw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch ontwerper - Graphic Designer | 16 uur pw | 6 maanden',b'Nederland Vacature Groep',"b'Rosmalen, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-ontwerper-graphic-designer-16-uur-pw-6-maanden-at-nederland-vacature-groep-3492211497?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=vE4rYZ2o9Suxt5ynlt6QVQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Brand Graphic Designer',b'Vlisco Netherlands',"b'Helmond, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/brand-graphic-designer-at-vlisco-netherlands-3473671026?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=BeIYYi4xoOFOLbAfSHwqsg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Creatief Marketeer & Graphic Design',b'TwisTea',"b'Uden, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/creatief-marketeer-graphic-design-at-twistea-3491820895?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=lOYPuqDssLM06od21E%2BsOQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch Vormgeven / DTP werk',b'Cindruk',"b'Gorinchem, South Holland, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-vormgeven-dtp-werk-at-cindruk-3495960832?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=gEaQQIYMYN0LfzjIc9GZWQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Visual designer',b'World Wide Lighting B.V.',"b'Helmond, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/visual-designer-at-world-wide-lighting-b-v-3476566713?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=h9nRj80JPvI4rY5SDt7XgQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Visual Designer',b'Nederland Vacature Groep',"b'Aarle-Rixtel, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/junior-visual-designer-at-nederland-vacature-groep-3487591349?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=cDO9HTniXdYmAszcve7OCw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Grafisch nabewerker, Goudriaan'",b'Intro Personeel',"b'Goudriaan, South Holland, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-nabewerker-goudriaan-at-intro-personeel-3475053367?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=1OM9ryypj7HRR9NBxdJ50Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Concept Designer',b'Foot Locker',"b'Vianen, Utrecht, Netherlands'",b'https://nl.linkedin.com/jobs/view/concept-designer-at-foot-locker-3486025990?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=x9GjhC1OvPvze9WJuLAJOg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Packaging Designer',b'stichd',"b""'s-Hertogenbosch, North Brabant, Netherlands""",b'https://nl.linkedin.com/jobs/view/senior-packaging-designer-at-stichd-3481275859?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=ZpUBlKob8856uBblUnkxHg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Experienced Mentor Graphics/NX/Unigraphics Cable Harness Designer max \xe2\x82\xac 65000 gross yearly',b'Trinamics',"b'Eindhoven, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/experienced-mentor-graphics-nx-unigraphics-cable-harness-designer-max-%E2%82%AC-65000-gross-yearly-at-trinamics-3420450241?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=CnHHQ%2BPsmJkPRaswGJ6AXA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch Nabewerker Bij Raaak Personeel',b'Techniekwerkt.nl',"b'Eindhoven, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-nabewerker-bij-raaak-personeel-at-techniekwerkt-3480168687?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=DJj8YdlPsHT52NzFD2nVUQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Online marketeer',b'The Schippers Group',"b'Hapert, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/online-marketeer-at-the-schippers-group-3487209805?refId=PqY1XFSpBQQZbn22TphzYw%3D%3D&trackingId=YKEzyQk1SWZ710KI0b221Q%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Planvisualist',"b""Gemeente 's-Hertogenbosch""","b'\xe2\x80\x99s-Hertogenbosch, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/planvisualist-at-gemeente-s-hertogenbosch-3456319590?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=SSL3jGZ8zIETqtCkFfYTzQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Vormgever/DTP-er, Uden'",b'Wiltec - Spuiterij & oppervlaktetechniek',"b'Uden, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/vormgever-dtp-er-uden-at-wiltec-spuiterij-oppervlaktetechniek-3485037576?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=QO%2FCKsHmovdV7iPjVJS7WA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
